treatment,plant_ID,viable_seeds_per_silique,aborted_seeds_per_silique,total_seeds
Col::TRV2-RECQ4,1,43,3,46
Col::TRV2-RECQ4,1,64,5,69
Col::TRV2-RECQ4,1,63,1,64
Col::TRV2-RECQ4,1,52,1,53
Col::TRV2-RECQ4,1,60,2,62
Col::TRV2-RECQ4,1,57,1,58
Col::TRV2-RECQ4,1,66,1,67
Col::TRV2-RECQ4,1,57,2,59
Col::TRV2-RECQ4,1,59,0,59
Col::TRV2-RECQ4,1,64,0,64
Col::TRV2-RECQ4,2,65,0,65
Col::TRV2-RECQ4,2,66,0,66
Col::TRV2-RECQ4,2,67,0,67
Col::TRV2-RECQ4,2,74,0,74
Col::TRV2-RECQ4,2,60,1,61
Col::TRV2-RECQ4,2,63,0,63
Col::TRV2-RECQ4,2,63,0,63
Col::TRV2-RECQ4,2,62,1,63
Col::TRV2-RECQ4,2,55,0,55
Col::TRV2-RECQ4,2,57,0,57
Col::TRV2-RECQ4,3,60,1,61
Col::TRV2-RECQ4,3,59,1,60
Col::TRV2-RECQ4,3,55,2,57
Col::TRV2-RECQ4,3,62,0,62
Col::TRV2-RECQ4,3,59,2,61
Col::TRV2-RECQ4,3,57,1,58
Col::TRV2-RECQ4,3,56,2,58
Col::TRV2-RECQ4,3,66,0,66
Col::TRV2-RECQ4,3,61,0,61
Col::TRV2-RECQ4,3,42,12,54
Col::TRV2-RECQ4,4,60,2,62
Col::TRV2-RECQ4,4,68,1,69
Col::TRV2-RECQ4,4,65,0,65
Col::TRV2-RECQ4,4,56,1,57
Col::TRV2-RECQ4,4,67,0,67
Col::TRV2-RECQ4,4,59,0,59
Col::TRV2-RECQ4,4,68,0,68
Col::TRV2-RECQ4,4,67,0,67
Col::TRV2-RECQ4,4,60,0,60
Col::TRV2-RECQ4,4,52,4,56
Col::TRV2-RECQ4,5,62,0,62
Col::TRV2-RECQ4,5,80,0,80
Col::TRV2-RECQ4,5,62,1,63
Col::TRV2-RECQ4,5,63,0,63
Col::TRV2-RECQ4,5,61,0,61
Col::TRV2-RECQ4,5,65,0,65
Col::TRV2-RECQ4,5,61,1,62
Col::TRV2-RECQ4,5,70,0,70
Col::TRV2-RECQ4,5,61,0,61
Col::TRV2-RECQ4,5,66,0,66
Col::TRV2-RECQ4,6,63,1,64
Col::TRV2-RECQ4,6,68,1,69
Col::TRV2-RECQ4,6,60,0,60
Col::TRV2-RECQ4,6,52,0,52
Col::TRV2-RECQ4,6,62,0,62
Col::TRV2-RECQ4,6,63,0,63
Col::TRV2-RECQ4,6,61,2,63
Col::TRV2-RECQ4,6,56,1,57
Col::TRV2-RECQ4,6,59,0,59
Col::TRV2-RECQ4,6,51,2,53
Col::TRV2-FIGL1,1,59,1,60
Col::TRV2-FIGL1,1,55,3,58
Col::TRV2-FIGL1,1,61,0,61
Col::TRV2-FIGL1,1,56,4,60
Col::TRV2-FIGL1,1,55,2,57
Col::TRV2-FIGL1,1,54,0,54
Col::TRV2-FIGL1,1,32,17,49
Col::TRV2-FIGL1,1,56,1,57
Col::TRV2-FIGL1,1,47,1,48
Col::TRV2-FIGL1,1,53,2,55
Col::TRV2-FIGL1,2,62,2,64
Col::TRV2-FIGL1,2,65,0,65
Col::TRV2-FIGL1,2,57,0,57
Col::TRV2-FIGL1,2,60,1,61
Col::TRV2-FIGL1,2,62,0,62
Col::TRV2-FIGL1,2,69,2,71
Col::TRV2-FIGL1,2,61,2,63
Col::TRV2-FIGL1,2,53,0,53
Col::TRV2-FIGL1,2,52,0,52
Col::TRV2-FIGL1,2,68,0,68
Col::TRV2-FIGL1,3,66,1,67
Col::TRV2-FIGL1,3,62,3,65
Col::TRV2-FIGL1,3,53,2,55
Col::TRV2-FIGL1,3,64,0,64
Col::TRV2-FIGL1,3,55,3,58
Col::TRV2-FIGL1,3,37,21,58
Col::TRV2-FIGL1,3,51,3,54
Col::TRV2-FIGL1,3,47,2,49
Col::TRV2-FIGL1,3,59,1,60
Col::TRV2-FIGL1,3,54,1,55
