plant_ID,day,positive_flowers,total_flowers,tetrads,flower_day,tetrad_proportion,flower_proportion,Y_var,total_flower_proportion
1,2,0,2,0,1,0,0,0,0.029850746
1,3,0,2,0,2,0,0,0,0.029850746
1,4,0,2,0,3,0,0,0,0.029850746
1,5,0,0,0,4,0,0,0,0
1,6,0,1,0,5,0,0,0,0.014925373
1,7,0,2,0,6,0,0,0,0.029850746
1,8,0,6,0,7,0,0,0,0.089552239
1,9,0,8,0,8,0,0,0,0.119402985
1,10,0,11,0,9,0,0,0,0.164179104
1,11,0,11,0,10,0,0,0,0.164179104
1,12,0,11,0,11,0,0,0,0.164179104
1,13,0,11,0,12,0,0,0,0.164179104
2,2,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0
2,5,2,2,24,1,0.32,0.666666667,0.213333333,0.039215686
2,6,1,2,2,2,0.026666667,0.333333333,0.008888889,0.039215686
2,7,0,3,0,3,0,0,0,0.058823529
2,8,1,3,3,4,0.04,0.25,0.01,0.058823529
2,9,0,3,0,5,0,0,0,0.058823529
2,10,1,9,20,6,0.266666667,0.1,0.026666667,0.176470588
2,11,1,7,17,7,0.226666667,0.125,0.028333333,0.137254902
2,12,1,15,9,8,0.12,0.0625,0.0075,0.294117647
2,13,0,7,0,9,0,0,0,0.137254902
3,2,1,2,21,1,0.071917808,0.333333333,0.023972603,0.024096386
3,3,2,3,79,2,0.270547945,0.5,0.135273973,0.036144578
3,4,0,2,0,3,0,0,0,0.024096386
3,5,0,0,0,4,0,0,0,0
3,6,0,4,0,5,0,0,0,0.048192771
3,7,2,4,18,6,0.061643836,0.4,0.024657534,0.048192771
3,8,3,5,29,7,0.099315068,0.5,0.049657534,0.060240964
3,9,5,14,76,8,0.260273973,0.333333333,0.086757991,0.168674699
3,10,3,12,18,9,0.061643836,0.230769231,0.014225501,0.144578313
3,11,4,18,51,10,0.174657534,0.210526316,0.036770007,0.21686747
3,12,0,9,0,11,0,0,0,0.108433735
3,13,0,10,0,12,0,0,0,0.120481928
4,2,0,1,0,1,0,0,0,0.013513514
4,3,1,3,13,2,0.045138889,0.25,0.011284722,0.040540541
4,4,2,2,39,3,0.135416667,0.666666667,0.090277778,0.027027027
