viable_seeds_per_silique,accession,treatment,viability,plant_ID,mutant
43,Col-0,TRV2-RECQ4,Viable,1,WT
64,Col-0,TRV2-RECQ4,Viable,1,WT
63,Col-0,TRV2-RECQ4,Viable,1,WT
52,Col-0,TRV2-RECQ4,Viable,1,WT
60,Col-0,TRV2-RECQ4,Viable,1,WT
57,Col-0,TRV2-RECQ4,Viable,1,WT
66,Col-0,TRV2-RECQ4,Viable,1,WT
57,Col-0,TRV2-RECQ4,Viable,1,WT
59,Col-0,TRV2-RECQ4,Viable,1,WT
64,Col-0,TRV2-RECQ4,Viable,1,WT
65,Col-0,TRV2-RECQ4,Viable,2,WT
66,Col-0,TRV2-RECQ4,Viable,2,WT
67,Col-0,TRV2-RECQ4,Viable,2,WT
74,Col-0,TRV2-RECQ4,Viable,2,WT
60,Col-0,TRV2-RECQ4,Viable,2,WT
63,Col-0,TRV2-RECQ4,Viable,2,WT
63,Col-0,TRV2-RECQ4,Viable,2,WT
62,Col-0,TRV2-RECQ4,Viable,2,WT
55,Col-0,TRV2-RECQ4,Viable,2,WT
57,Col-0,TRV2-RECQ4,Viable,2,WT
60,Col-0,TRV2-RECQ4,Viable,3,WT
59,Col-0,TRV2-RECQ4,Viable,3,WT
55,Col-0,TRV2-RECQ4,Viable,3,WT
62,Col-0,TRV2-RECQ4,Viable,3,WT
59,Col-0,TRV2-RECQ4,Viable,3,WT
57,Col-0,TRV2-RECQ4,Viable,3,WT
56,Col-0,TRV2-RECQ4,Viable,3,WT
66,Col-0,TRV2-RECQ4,Viable,3,WT
61,Col-0,TRV2-RECQ4,Viable,3,WT
42,Col-0,TRV2-RECQ4,Viable,3,WT
60,Col-0,TRV2-RECQ4,Viable,4,WT
68,Col-0,TRV2-RECQ4,Viable,4,WT
65,Col-0,TRV2-RECQ4,Viable,4,WT
56,Col-0,TRV2-RECQ4,Viable,4,WT
67,Col-0,TRV2-RECQ4,Viable,4,WT
59,Col-0,TRV2-RECQ4,Viable,4,WT
68,Col-0,TRV2-RECQ4,Viable,4,WT
67,Col-0,TRV2-RECQ4,Viable,4,WT
60,Col-0,TRV2-RECQ4,Viable,4,WT
52,Col-0,TRV2-RECQ4,Viable,4,WT
62,Col-0,TRV2-RECQ4,Viable,5,WT
80,Col-0,TRV2-RECQ4,Viable,5,WT
62,Col-0,TRV2-RECQ4,Viable,5,WT
63,Col-0,TRV2-RECQ4,Viable,5,WT
61,Col-0,TRV2-RECQ4,Viable,5,WT
65,Col-0,TRV2-RECQ4,Viable,5,WT
61,Col-0,TRV2-RECQ4,Viable,5,WT
70,Col-0,TRV2-RECQ4,Viable,5,WT
61,Col-0,TRV2-RECQ4,Viable,5,WT
66,Col-0,TRV2-RECQ4,Viable,5,WT
63,Col-0,TRV2-RECQ4,Viable,6,WT
68,Col-0,TRV2-RECQ4,Viable,6,WT
60,Col-0,TRV2-RECQ4,Viable,6,WT
52,Col-0,TRV2-RECQ4,Viable,6,WT
62,Col-0,TRV2-RECQ4,Viable,6,WT
63,Col-0,TRV2-RECQ4,Viable,6,WT
61,Col-0,TRV2-RECQ4,Viable,6,WT
56,Col-0,TRV2-RECQ4,Viable,6,WT
59,Col-0,TRV2-RECQ4,Viable,6,WT
51,Col-0,TRV2-RECQ4,Viable,6,WT
59,Col-0,TRV2-FIGL,Viable,7,WT
55,Col-0,TRV2-FIGL,Viable,7,WT
61,Col-0,TRV2-FIGL,Viable,7,WT
56,Col-0,TRV2-FIGL,Viable,7,WT
55,Col-0,TRV2-FIGL,Viable,7,WT
54,Col-0,TRV2-FIGL,Viable,7,WT
32,Col-0,TRV2-FIGL,Viable,7,WT
56,Col-0,TRV2-FIGL,Viable,7,WT
47,Col-0,TRV2-FIGL,Viable,7,WT
53,Col-0,TRV2-FIGL,Viable,7,WT
62,Col-0,TRV2-FIGL,Viable,8,WT
65,Col-0,TRV2-FIGL,Viable,8,WT
57,Col-0,TRV2-FIGL,Viable,8,WT
60,Col-0,TRV2-FIGL,Viable,8,WT
62,Col-0,TRV2-FIGL,Viable,8,WT
69,Col-0,TRV2-FIGL,Viable,8,WT
61,Col-0,TRV2-FIGL,Viable,8,WT
